nakshatra,graha,deity
Ashwini,Ketu,Ashwini Kumaras
Bharani,Venus,Yama
Krittika,Sun,Agni
Rohini,Moon,Brahma
Mrigashira,Mars,Soma
Ardra,Rahu,Rudra
Punarvasu,Jupiter,Aditi
Pushya,Saturn,Brihaspati
Ashlesha,Mercury,Nagas
Magha,Ketu,Pitris
Purva Phalguni,Venus,Bhaga
Uttara Phalguni,Sun,Aryaman
Hasta,Moon,Savitar
Chitra,Mars,Tvashtar
Swati,Rahu,Vayu
Vishakha,Jupiter,Indra-Agni
Anuradha,Saturn,Mitra
Jyeshtha,Mercury,Indra
Mula,Ketu,Nirriti
Purva Ashadha,Venus,Apas
Uttara Ashadha,Sun,Vishvadevas
Shravana,Moon,Vishnu
Dhanishta,Mars,Vasus
Shatabhisha,Rahu,Varuna
Purva Bhadrapada,Jupiter,Aja Ekapada
Uttara Bhadrapada,Saturn,Ahirbudhnya
Revati,Mercury,Pushan
