deity,domain,element,notes
Indra,storms,air,king_of_devas
Agni,sacred_fire,fire,ritual_fire_deity
Varuna,cosmic_waters,water,guardian_of_rta
Vayu,wind,air,life_breath
Surya,solar_light,fire,cosmic_illumination
Chandra,lunar_cycles,water,emotions_and_growth
Kubera,wealth,earth,guardian_of_treasures
Yama,death,earth,judge_of_the_dead
Durga,protection,fire,divine_mother
Lakshmi,prosperity,water,goddess_of_fortune
Saraswati,knowledge,air,goddess_of_learning
Ganesha,obstacle_removal,earth,auspicious_beginnings
Karttikeya,warfare,fire,divine_commander
