id,type,name,aliases,notes,source_file
nakshatra:ashwini,nakshatra,Ashwini,,,nakshatra.yaml
nakshatra:bharani,nakshatra,Bharani,,,nakshatra.yaml
nakshatra:krittika,nakshatra,Krittika,,,nakshatra.yaml
nakshatra:rohini,nakshatra,Rohini,,,nakshatra.yaml
nakshatra:mrigashira,nakshatra,Mrigashira,,,nakshatra.yaml
nakshatra:ardra,nakshatra,Ardra,,,nakshatra.yaml
nakshatra:punarvasu,nakshatra,Punarvasu,,,nakshatra.yaml
nakshatra:pushya,nakshatra,Pushya,,,nakshatra.yaml
nakshatra:ashlesha,nakshatra,Ashlesha,,,nakshatra.yaml
nakshatra:magha,nakshatra,Magha,,,nakshatra.yaml
nakshatra:purvaphalguni,nakshatra,PurvaPhalguni,,,nakshatra.yaml
nakshatra:uttaraphalguni,nakshatra,UttaraPhalguni,,,nakshatra.yaml
nakshatra:hasta,nakshatra,Hasta,,,nakshatra.yaml
nakshatra:chitra,nakshatra,Chitra,,,nakshatra.yaml
nakshatra:swati,nakshatra,Swati,,,nakshatra.yaml
nakshatra:vishakha,nakshatra,Vishakha,,,nakshatra.yaml
nakshatra:anuradha,nakshatra,Anuradha,,,nakshatra.yaml
nakshatra:jyeshtha,nakshatra,Jyeshtha,,,nakshatra.yaml
nakshatra:mula,nakshatra,Mula,,,nakshatra.yaml
nakshatra:purvaashadha,nakshatra,PurvaAshadha,,,nakshatra.yaml
nakshatra:uttaraashadha,nakshatra,UttaraAshadha,,,nakshatra.yaml
nakshatra:shravana,nakshatra,Shravana,,,nakshatra.yaml
nakshatra:dhanishta,nakshatra,Dhanishta,,,nakshatra.yaml
nakshatra:shatabhisha,nakshatra,Shatabhisha,,,nakshatra.yaml
nakshatra:purvabhadrapada,nakshatra,PurvaBhadrapada,,,nakshatra.yaml
nakshatra:uttarabhadrapada,nakshatra,UttaraBhadrapada,,,nakshatra.yaml
nakshatra:revati,nakshatra,Revati,,,nakshatra.yaml
