from_id,relation,to_id,layer,confidence,notes
tithi:1,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 1
tithi:1,tithi_index_in_paksha,tithi_index:1,structure,model_layered,derived index 1 from position 1
tithi:2,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 2
tithi:2,tithi_index_in_paksha,tithi_index:2,structure,model_layered,derived index 2 from position 2
tithi:3,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 3
tithi:3,tithi_index_in_paksha,tithi_index:3,structure,model_layered,derived index 3 from position 3
tithi:4,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 4
tithi:4,tithi_index_in_paksha,tithi_index:4,structure,model_layered,derived index 4 from position 4
tithi:5,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 5
tithi:5,tithi_index_in_paksha,tithi_index:5,structure,model_layered,derived index 5 from position 5
tithi:6,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 6
tithi:6,tithi_index_in_paksha,tithi_index:6,structure,model_layered,derived index 6 from position 6
tithi:7,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 7
tithi:7,tithi_index_in_paksha,tithi_index:7,structure,model_layered,derived index 7 from position 7
tithi:8,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 8
tithi:8,tithi_index_in_paksha,tithi_index:8,structure,model_layered,derived index 8 from position 8
tithi:9,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 9
tithi:9,tithi_index_in_paksha,tithi_index:9,structure,model_layered,derived index 9 from position 9
tithi:10,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 10
tithi:10,tithi_index_in_paksha,tithi_index:10,structure,model_layered,derived index 10 from position 10
tithi:11,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 11
tithi:11,tithi_index_in_paksha,tithi_index:11,structure,model_layered,derived index 11 from position 11
tithi:12,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 12
tithi:12,tithi_index_in_paksha,tithi_index:12,structure,model_layered,derived index 12 from position 12
tithi:13,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 13
tithi:13,tithi_index_in_paksha,tithi_index:13,structure,model_layered,derived index 13 from position 13
tithi:14,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 14
tithi:14,tithi_index_in_paksha,tithi_index:14,structure,model_layered,derived index 14 from position 14
tithi:15,tithi_in_paksha,paksha:shukla,structure,model_layered,derived paksha from position 15
tithi:15,tithi_index_in_paksha,tithi_index:15,structure,model_layered,derived index 15 from position 15
nakshatra:1,nakshatra_has_pada,pada:1,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:1,nakshatra_pada_entity,nakshatra_pada:1_1,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:1,nakshatra_has_pada,pada:2,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:1,nakshatra_pada_entity,nakshatra_pada:1_2,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:1,nakshatra_has_pada,pada:3,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:1,nakshatra_pada_entity,nakshatra_pada:1_3,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:1,nakshatra_has_pada,pada:4,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:1,nakshatra_pada_entity,nakshatra_pada:1_4,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:2,nakshatra_has_pada,pada:1,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:2,nakshatra_pada_entity,nakshatra_pada:2_1,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:2,nakshatra_has_pada,pada:2,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:2,nakshatra_pada_entity,nakshatra_pada:2_2,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:2,nakshatra_has_pada,pada:3,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:2,nakshatra_pada_entity,nakshatra_pada:2_3,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:2,nakshatra_has_pada,pada:4,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:2,nakshatra_pada_entity,nakshatra_pada:2_4,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:3,nakshatra_has_pada,pada:1,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:3,nakshatra_pada_entity,nakshatra_pada:3_1,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
nakshatra:3,nakshatra_has_pada,pada:2,structure,model_layered,derived: 4 padas per nakshatra
nakshatra:3,nakshatra_pada_entity,nakshatra_pada:3_2,derived_set,model_layered,derived: nakshatra×pada (108) carrier node
