from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
nakshatra:1,nakshatra_ruling_graha,graha:ketu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:2,nakshatra_ruling_graha,graha:venus,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:3,nakshatra_ruling_graha,graha:sun,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:4,nakshatra_ruling_graha,graha:moon,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:5,nakshatra_ruling_graha,graha:mars,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:6,nakshatra_ruling_graha,graha:rahu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:7,nakshatra_ruling_graha,graha:jupiter,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:8,nakshatra_ruling_graha,graha:saturn,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:9,nakshatra_ruling_graha,graha:mercury,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:10,nakshatra_ruling_graha,graha:ketu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:11,nakshatra_ruling_graha,graha:venus,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:12,nakshatra_ruling_graha,graha:sun,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:13,nakshatra_ruling_graha,graha:moon,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:14,nakshatra_ruling_graha,graha:mars,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:15,nakshatra_ruling_graha,graha:rahu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:16,nakshatra_ruling_graha,graha:jupiter,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:17,nakshatra_ruling_graha,graha:saturn,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:18,nakshatra_ruling_graha,graha:mercury,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:19,nakshatra_ruling_graha,graha:ketu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:20,nakshatra_ruling_graha,graha:venus,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:21,nakshatra_ruling_graha,graha:sun,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:22,nakshatra_ruling_graha,graha:moon,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:23,nakshatra_ruling_graha,graha:mars,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:24,nakshatra_ruling_graha,graha:rahu,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:25,nakshatra_ruling_graha,graha:jupiter,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:26,nakshatra_ruling_graha,graha:saturn,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
nakshatra:27,nakshatra_ruling_graha,graha:mercury,,,,,seed_unverified,AUTO: ruler from nakshatra.yaml
