from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
devi:bhagamalini,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:bherunda,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:chitra,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:jvalamalini,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:kameshvari,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:kulasundari,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:mahavajreshvari,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:nilapataka,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:nitya,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:nityaklinna,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:sarvamangala,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:shivaduti,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:tvarita,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:vahnivasini,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:vijaya,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
