source_id,title,path,notes
source:a80ecfcbf09c,journey-with-the-moon,/opt/atlas/research/journey-with-the-moon.pdf,
source:b782768d31bb,journey-with-the-moon,/opt/atlas/research/_text/journey-with-the-moon.txt,
source:d2aa0ad9228d,15_Tithi_Nitya_Dossier_with_Mantra_Metadata,/opt/atlas/research/_text/15_Tithi_Nitya_Dossier_with_Mantra_Metadata.txt,
source:397e4da84ab3,15_Tithi_Nitya_Iconography_Infographic_Canonical,/opt/atlas/research/_text/15_Tithi_Nitya_Iconography_Infographic_Canonical.txt,
source:0a0af550bd11,15_Tithi_Nitya_Infographic_Sheets,/opt/atlas/research/_text/15_Tithi_Nitya_Infographic_Sheets.txt,
source:0b02f6cf44c4,CoherenceAtlas_ModelSpec_TermVault_v1,/opt/atlas/research/_text/CoherenceAtlas_ModelSpec_TermVault_v1.txt,
source:efa2f6dabfe6,Lunar_Kirtan_Guide_Sukla_Paksha,/opt/atlas/research/_text/Lunar_Kirtan_Guide_Sukla_Paksha.txt,
source:58fa163dc705,prash-trivedi-the-book-of-nakshatras-a-comprehensive-treatise-on-the-27-constellationspdf_compress,/opt/atlas/research/_text/prash-trivedi-the-book-of-nakshatras-a-comprehensive-treatise-on-the-27-constellationspdf_compress.txt,
source:bf1a7da0be22,journey-with-the-moon__a80ecfcb,/opt/atlas/research/_text/journey-with-the-moon__a80ecfcb.txt,
source:3cf2b395ae5b,7df72af0aa24__Die_vedischen_Nachrichten_von_den_naxatr T 2  ,/opt/atlas/research/_text/7df72af0aa24__Die_vedischen_Nachrichten_von_den_naxatr T 2  .txt,
source:10d9e26b2555,3b70b8e25a19__Nakshatra-Sooktam-Eng-v1,/opt/atlas/research/_text/3b70b8e25a19__Nakshatra-Sooktam-Eng-v1.txt,
source:929de932673d,aea77d2967a2__2015.382306.Nakshatra-Vidnyana,/opt/atlas/research/_text/aea77d2967a2__2015.382306.Nakshatra-Vidnyana.txt,
source:ec56fad964b5,e3e399cf617f__2015.382306.Nakshatra-Vidnyana_text,/opt/atlas/research/_text/e3e399cf617f__2015.382306.Nakshatra-Vidnyana_text.txt,
source:cb49adaf9390,a215369f80e5__Nakshatra Jyotish,/opt/atlas/research/_text/a215369f80e5__Nakshatra Jyotish.txt,
source:4ab5b6326b7c,c336724eac0f__Nakshatra Mala Vyakhya Lalshmi Vilas - Shivram Tripathi_222_Gha_Alm_2_Shlf_2 _Devanagari - Kavya,/opt/atlas/research/_text/c336724eac0f__Nakshatra Mala Vyakhya Lalshmi Vilas - Shivram Tripathi_222_Gha_Alm_2_Shlf_2 _Devanagari - Kavya.txt,
source:638a6281fb43,Die_vedischen_Nachrichten_von_den_naxatr T 2  ,/opt/atlas/research/_text/Die_vedischen_Nachrichten_von_den_naxatr T 2  .txt,
source:a49a67ea5037,Nakshatra-Sooktam-Eng-v1,/opt/atlas/research/_text/Nakshatra-Sooktam-Eng-v1.txt,
source:685a7bb1d57c,2015.382306.Nakshatra-Vidnyana,/opt/atlas/research/_text/2015.382306.Nakshatra-Vidnyana.txt,
source:2a27f5020eb1,2015.382306.Nakshatra-Vidnyana_text,/opt/atlas/research/_text/2015.382306.Nakshatra-Vidnyana_text.txt,
source:915617609b61,Nakshatra Jyotish,/opt/atlas/research/_text/Nakshatra Jyotish.txt,
source:43431a239ce9,Nakshatra Mala Vyakhya Lalshmi Vilas - Shivram Tripathi_222_Gha_Alm_2_Shlf_2 _Devanagari - Kavya,/opt/atlas/research/_text/Nakshatra Mala Vyakhya Lalshmi Vilas - Shivram Tripathi_222_Gha_Alm_2_Shlf_2 _Devanagari - Kavya.txt,
source:7716d429c7c2,Die_vedischen_Nachrichten_von_den_naxatr_T_2__djvu,/opt/atlas/research/_text/Die_vedischen_Nachrichten_von_den_naxatr_T_2__djvu.txt,
source:460c69c473df,Nakshatra-Sooktam-Eng-v1_djvu,/opt/atlas/research/_text/Nakshatra-Sooktam-Eng-v1_djvu.txt,
source:e233b41334c7,nakshatra_parichaya_djvu,/opt/atlas/research/_text/nakshatra_parichaya_djvu.txt,
source:a51506f3a79f,Nakshatra_Mala_Vyakhya_Lalshmi_Vilas_-_Shivram_Tripathi_222_Gha_Alm_2_Shlf_2__Devanagari_-_Kavya_djvu,/opt/atlas/research/_text/Nakshatra_Mala_Vyakhya_Lalshmi_Vilas_-_Shivram_Tripathi_222_Gha_Alm_2_Shlf_2__Devanagari_-_Kavya_djvu.txt,
